district_code,district_name,block_code,block_name
664,Alipurduar,2919,ALIPURDUAR-I
664,Alipurduar,2920,ALIPURDUAR-II
303,24 PARAGANAS NORTH,2723,AMDANGA
313,HOWRAH,2905,AMTA-I
313,HOWRAH,2906,AMTA-II
312,HOOGHLY,2887,ARAMBAGH
321,PURULIA,3044,ARSHA
306,PURBA BARDHAMAN,2796,AUSGRAM-I
306,PURBA BARDHAMAN,2797,AUSGRAM-II
303,24 PARAGANAS NORTH,2724,BADURIA
303,24 PARAGANAS NORTH,2725,BAGDA
321,PURULIA,3045,BAGMUNDI
313,HOWRAH,2907,BAGNAN-I
313,HOWRAH,2908,BAGNAN-II
312,HOOGHLY,2888,BALAGARH
321,PURULIA,3046,BALARAMPUR
313,HOWRAH,2909,BALLY-JAGACHA
310,DINAJPUR DAKSHIN,2870,BALURGHAT
316,MALDAH,2932,BAMONGOLA
314,JALPAIGURI,7483,BANARHAT
305,BANKURA,2774,BANKURA-I
305,BANKURA,2775,BANKURA-II
310,DINAJPUR DAKSHIN,2871,BANSIHARI
704,PASCHIM BARDHAMAN,2798,BARABANI
321,PURULIA,3047,BARABAZAR
303,24 PARAGANAS NORTH,2726,BARASAT-I
303,24 PARAGANAS NORTH,2727,BARASAT-II
305,BANKURA,2776,BARJORA
303,24 PARAGANAS NORTH,2728,BARRACKPUR-I
303,24 PARAGANAS NORTH,2729,BARRACKPUR-II
304,24 PARAGANAS SOUTH,2745,BARUIPUR
304,24 PARAGANAS SOUTH,2746,BASANTI
303,24 PARAGANAS NORTH,2730,BASIRHAT-I
303,24 PARAGANAS NORTH,2731,BASIRHAT-II
319,MURSHIDABAD,3001,BELDANGA-I
319,MURSHIDABAD,3002,BELDANGA-II
319,MURSHIDABAD,3003,BERHAMPORE
319,MURSHIDABAD,3004,BHAGABANGOLA-II
319,MURSHIDABAD,3005,BHAGAWANGOLA-I
317,MEDINIPUR EAST,2947,BHAGAWANPUR-I
317,MEDINIPUR EAST,2948,BHAGAWANPUR-II
304,24 PARAGANAS SOUTH,2747,BHANGAR-I
304,24 PARAGANAS SOUTH,2748,BHANGAR-II
319,MURSHIDABAD,3006,BHARATPUR-I
319,MURSHIDABAD,3007,BHARATPUR-II
306,PURBA BARDHAMAN,2799,BHATAR
703,Jhargram,2972,BINPUR-I
703,Jhargram,2973,BINPUR-II
304,24 PARAGANAS SOUTH,2749,BISHNUPUR-I
304,24 PARAGANAS SOUTH,2750,BISHNUPUR-II
307,BIRBHUM,2827,BOLPUR-SRINIKETAN
303,24 PARAGANAS NORTH,2732,BONGAON
304,24 PARAGANAS SOUTH,2751,BUDGE BUDGE-I
304,24 PARAGANAS SOUTH,2752,BUDGE BUDGE-II
321,PURULIA,3048,BUNDWAN
306,PURBA BARDHAMAN,2800,BURDWAN-I
306,PURBA BARDHAMAN,2801,BURDWAN-II
319,MURSHIDABAD,3008,BURWAN
304,24 PARAGANAS SOUTH,2753,CANNING-I
304,24 PARAGANAS SOUTH,2754,CANNING-II
320,NADIA,3027,CHAKDAH
316,MALDAH,2933,CHANCHAL-I
316,MALDAH,2934,CHANCHAL-II
317,MEDINIPUR EAST,2949,CHANDIPUR
312,HOOGHLY,2889,CHANDITALA-I
312,HOOGHLY,2890,CHANDITALA-II
318,MEDINIPUR WEST,2974,CHANDRAKONA-I
318,MEDINIPUR WEST,2975,CHANDRAKONA-II
320,NADIA,3028,CHAPRA
305,BANKURA,2777,CHHATNA
312,HOOGHLY,2891,CHINSURAH-MAGRAH
311,DINAJPUR UTTAR,2878,CHOPRA
317,MEDINIPUR EAST,2950,CONTAI-I
317,MEDINIPUR EAST,2951,CONTAI-III
308,COOCHBEHAR,2846,COOCH BEHAR II
308,COOCHBEHAR,2847,COOCHBEHAR I
318,MEDINIPUR WEST,2976,DANTAN-I
318,MEDINIPUR WEST,2977,DANTAN-II
309,DARJEELING,2858,DARJEELING-PULBAZAR
318,MEDINIPUR WEST,2978,DASPUR-I
318,MEDINIPUR WEST,2979,DASPUR-II
318,MEDINIPUR WEST,2980,DEBRA
303,24 PARAGANAS NORTH,2733,DEGANGA
317,MEDINIPUR EAST,2952,DESHAPRAN
312,HOOGHLY,2892,DHANIAKHALI
314,JALPAIGURI,2921,DHUPGURI
304,24 PARAGANAS SOUTH,2755,DIAMOND HARBOUR-I
304,24 PARAGANAS SOUTH,2756,DIAMOND HARBOUR-II
308,COOCHBEHAR,2848,DINHATA-I
308,COOCHBEHAR,2849,DINHATA-II
313,HOWRAH,2910,DOMJUR
319,MURSHIDABAD,3009,DOMKAL
307,BIRBHUM,2828,DUBRAJPUR
317,MEDINIPUR EAST,2953,EGRA-I
317,MEDINIPUR EAST,2954,EGRA-II
316,MALDAH,2935,ENGLISH BAZAR
664,Alipurduar,2922,FALAKATA
304,24 PARAGANAS SOUTH,2757,FALTA
319,MURSHIDABAD,3010,FARAKKA
704,PASCHIM BARDHAMAN,2802,FARIDPUR - DURGAPUR
303,24 PARAGANAS NORTH,2734,GAIGHATA
306,PURBA BARDHAMAN,2803,GALSI -I
306,PURBA BARDHAMAN,2804,GALSI-II
305,BANKURA,2778,GANGAJAL GHATI
310,DINAJPUR DAKSHIN,2872,GANGARAMPUR
318,MEDINIPUR WEST,2981,GARBETA-I
318,MEDINIPUR WEST,2982,GARBETA-II
318,MEDINIPUR WEST,2983,GARBETA-III
316,MALDAH,2936,GAZOLE
318,MEDINIPUR WEST,2984,GHATAL
311,DINAJPUR UTTAR,2879,GOALPOKHAR II
311,DINAJPUR UTTAR,2880,GOALPOKHAR-I
312,HOOGHLY,2893,GOGHAT-I
312,HOOGHLY,2894,GOGHAT-II
703,Jhargram,2985,GOPIBALLAV PUR -II
703,Jhargram,2986,GOPIBALLAVPUR-I
702,KALIMPONG,2859,GORUBATHAN
304,24 PARAGANAS SOUTH,2758,GOSABA
316,MALDAH,2937,HABIBPUR
303,24 PARAGANAS NORTH,2735,HABRA-I
303,24 PARAGANAS NORTH,2736,HABRA-II
317,MEDINIPUR EAST,2955,HALDIA
308,COOCHBEHAR,2850,HALDIBARI
320,NADIA,3029,HANSKHALI
319,MURSHIDABAD,3011,HARIHARPARA
320,NADIA,3030,HARINGHATA
312,HOOGHLY,2895,HARIPAL
310,DINAJPUR DAKSHIN,2873,HARIRAMPUR
