state_code,state_name,district_code,district_name
19,WEST BENGAL,303,24 PARAGANAS NORTH
19,WEST BENGAL,304,24 PARAGANAS SOUTH
19,WEST BENGAL,664,Alipurduar
19,WEST BENGAL,305,BANKURA
19,WEST BENGAL,307,BIRBHUM
19,WEST BENGAL,308,COOCHBEHAR
19,WEST BENGAL,309,DARJEELING
19,WEST BENGAL,310,DINAJPUR DAKSHIN
19,WEST BENGAL,311,DINAJPUR UTTAR
19,WEST BENGAL,312,HOOGHLY
19,WEST BENGAL,313,HOWRAH
19,WEST BENGAL,314,JALPAIGURI
19,WEST BENGAL,703,Jhargram
19,WEST BENGAL,702,KALIMPONG
19,WEST BENGAL,315,KOLKATA
19,WEST BENGAL,316,MALDAH
19,WEST BENGAL,317,MEDINIPUR EAST
19,WEST BENGAL,318,MEDINIPUR WEST
19,WEST BENGAL,319,MURSHIDABAD
19,WEST BENGAL,320,NADIA
19,WEST BENGAL,704,PASCHIM BARDHAMAN
19,WEST BENGAL,306,PURBA BARDHAMAN
19,WEST BENGAL,321,PURULIA
