id,name,facility_type,ownership,district,district_mapping_confident,subdistrict,pincode,latitude,longitude,coordinate_status,coordinate_confidence,coordinate_source,source,source_record_id,verification_status,facility_category,facility_care_type,medicine_system,telephone,mobile_number,emergency_number,website,specialties_raw,service_availability_default,diagnostic_availability_default,medicine_availability_default
MED-WB-FAC-000001,K U N D Bararankua Rural Hospital,chc,government_public_health_system,MEDINIPUR EAST,True,Ramnagar II,,21.677267,87.592033,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000001,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000002,Digha A.K. BPHC,chc,government_public_health_system,MEDINIPUR EAST,True,Ramnagar I,,21.68,87.55,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000002,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000003,Dwariknagar Rural Hospital,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Namkhana Block,,21.719467,88.2536,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000003,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000004,Rudranagar Rural Hospital,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Sagore Block,,21.7295,88.105533,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000004,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000005,Majna BPHC,chc,government_public_health_system,MEDINIPUR EAST,True,Contai I,,21.7648611,87.6791075,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000005,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000006,Madhabnagar Rural Hospital,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Patharpratima Block,,21.78965,88.353883,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000006,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000007,Basantia Rural Hospital,chc,government_public_health_system,MEDINIPUR EAST,True,Deshopran,,21.806383,87.816883,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000007,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000008,Ramchandrapur BPHC,chc,government_public_health_system,MEDINIPUR EAST,True,Egra I,,21.813333,87.501717,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000008,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000009,Sillyaberia Rural Hospital,chc,government_public_health_system,MEDINIPUR EAST,True,Khejuri II,,21.82555,87.90505,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000009,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000010,Bagda RH,chc,government_public_health_system,MEDINIPUR WEST,True,Mohanpur,,21.8416,87.41615,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000010,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000011,Gangadharbarh Rural Hospital,chc,government_public_health_system,MEDINIPUR EAST,True,Egra II,,21.8921,87.6408,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000011,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000012,Kharipukuria BPHC,chc,government_public_health_system,MEDINIPUR EAST,True,Contai III,,21.896667,87.759,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000012,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
