district_code,district_name,localbody_code,localbody_name
702,KALIMPONG,260972,AAHALEY
304,24 PARAGANAS SOUTH,108220,ABAD BHAGAWANPUR
307,BIRBHUM,108917,ABINASHPUR
306,PURBA BARDHAMAN,108557,ABUJHATI-I
306,PURBA BARDHAMAN,108558,ABUJHATI-II
704,PASCHIM BARDHAMAN,108745,ACHHRA
304,24 PARAGANAS SOUTH,108248,ACHINTYANAGAR
308,COOCHBEHAR,109013,ADABARI
303,24 PARAGANAS NORTH,107777,ADHATA
306,PURBA BARDHAMAN,108548,ADRA
306,PURBA BARDHAMAN,108627,AGARDANGA
321,PURULIA,111029,AGARDI-CHITRA
311,DINAJPUR UTTAR,109286,AGDIMTI-KHANTI
321,PURULIA,111094,AGOYA-NARRA
318,MEDINIPUR WEST,110310,AGRA
306,PURBA BARDHAMAN,108613,AGRADWIP
703,Jhargram,110376,AGUIBONI
319,MURSHIDABAD,110752,AHIRAN
307,BIRBHUM,108898,AHMEDPUR
316,MALDAH,109903,AIHO
318,MEDINIPUR WEST,110256,AINKOLA
312,HOOGHLY,109374,AINYA
319,MURSHIDABAD,110661,AIRMARI KRISHNAPUR
318,MEDINIPUR WEST,110340,AJABNAGAR-I
318,MEDINIPUR WEST,110341,AJABNAGAR-II
306,PURBA BARDHAMAN,108559,AJHAPUR
310,DINAJPUR DAKSHIN,109237,AJMATPUR
321,PURULIA,110960,AJODHYA
305,BANKURA,108470,AJODHYA
303,24 PARAGANAS NORTH,107854,AKAIPUR
306,PURBA BARDHAMAN,108580,AKALPAUS
316,MALDAH,109953,AKANDABARIA
310,DINAJPUR DAKSHIN,109229,AKCHA
319,MURSHIDABAD,110555,AKHERIGANJ
312,HOOGHLY,109501,AKHNA
316,MALDAH,109904,AKTAIL
305,BANKURA,108348,AKUI-I
305,BANKURA,108349,AKUI-II
316,MALDAH,109888,ALAL
703,Jhargram,110359,ALAMPUR
306,PURBA BARDHAMAN,108604,ALAMPUR
320,NADIA,110785,ALFA
316,MALDAH,109862,ALIHANDA
318,MEDINIPUR WEST,110257,ALIKOSHA
316,MALDAH,109930,ALINAGAR
316,MALDAH,109931,ALIPUR-I
316,MALDAH,109932,ALIPUR-II
312,HOOGHLY,109437,ALIPURKASHIPUR
704,PASCHIM BARDHAMAN,108746,ALLADI
311,DINAJPUR UTTAR,109319,ALTAPUR-I
311,DINAJPUR UTTAR,109320,ALTAPUR-II
319,MURSHIDABAD,110569,ALUGRAM
307,BIRBHUM,108910,ALUNDA
306,PURBA BARDHAMAN,108673,AMADPUR
317,MEDINIPUR EAST,110086,AMALHANDA
318,MEDINIPUR WEST,110398,AMANPUR
703,Jhargram,110360,AMARDA
313,HOWRAH,109674,AMARDAHA
319,MURSHIDABAD,110681,AMARKUNDU
306,PURBA BARDHAMAN,108486,AMARPUR
307,BIRBHUM,108899,AMARPUR
317,MEDINIPUR EAST,110163,AMARSHI-I
317,MEDINIPUR EAST,110164,AMARSHI-II
306,PURBA BARDHAMAN,108501,AMARUN-I
306,PURBA BARDHAMAN,108502,AMARUN-II
308,COOCHBEHAR,108923,AMBARI
305,BANKURA,108422,AMBIKANAGAR
317,MEDINIPUR EAST,110142,AMDABAD-I
317,MEDINIPUR EAST,110143,AMDABAD-II
319,MURSHIDABAD,110556,AMDAHARA
303,24 PARAGANAS NORTH,107778,AMDANGA
305,BANKURA,108461,AMDANGRA
307,BIRBHUM,108840,AMDOLE
304,24 PARAGANAS SOUTH,108028,AMGACHHIA
314,JALPAIGURI,109823,AMGURI
304,24 PARAGANAS SOUTH,107996,AMJHARA
318,MEDINIPUR WEST,110311,AMKOPA
318,MEDINIPUR WEST,110312,AMLAGORA
319,MURSHIDABAD,110570,AMLAI
704,PASCHIM BARDHAMAN,108597,AMLAJORA
303,24 PARAGANAS NORTH,107919,AMLANI
318,MEDINIPUR WEST,110322,AMLASULI
312,HOOGHLY,109502,AMNAN
313,HOWRAH,109566,AMRAGORI
318,MEDINIPUR WEST,110399,AMRAKUCHI
704,PASCHIM BARDHAMAN,108739,AMRASOTA
304,24 PARAGANAS SOUTH,108196,AMRATALA
317,MEDINIPUR EAST,110099,AMRITABERIA
310,DINAJPUR DAKSHIN,109183,AMRITAKHAND
316,MALDAH,109877,AMRITI
305,BANKURA,108350,AMRUL
318,MEDINIPUR WEST,110332,AMSOLE
313,HOWRAH,109553,AMTA
304,24 PARAGANAS SOUTH,108115,AMTALI
317,MEDINIPUR EAST,110047,AMTALIA
303,24 PARAGANAS NORTH,107870,AMULIA
312,HOOGHLY,109521,ANANDANAGAR
318,MEDINIPUR WEST,110400,ANANDAPUR
311,DINAJPUR UTTAR,109311,ANANTAPUR
317,MEDINIPUR EAST,110212,ANANTAPUR-I
317,MEDINIPUR EAST,110213,ANANTAPUR-II
321,PURULIA,111066,ANARA
304,24 PARAGANAS SOUTH,108210,ANCHANA
305,BANKURA,108289,ANCHURI
704,PASCHIM BARDHAMAN,108692,ANDAL
308,COOCHBEHAR,109026,ANDARAN-FULBARI-I
308,COOCHBEHAR,109027,ANDARAN-FULBARI-II
305,BANKURA,108290,ANDARTHOLE
304,24 PARAGANAS SOUTH,108029,ANDHAR MANIK
703,Jhargram,110504,ANDHARI
703,Jhargram,110224,ANDHARIA
313,HOWRAH,109648,ANDUL
319,MURSHIDABAD,110527,ANDULBARIA-I
319,MURSHIDABAD,110528,ANDULBARIA-II
319,MURSHIDABAD,110639,ANDULIA
307,BIRBHUM,108821,ANGARGARIA
308,COOCHBEHAR,108985,ANGARKATA-PARDUBI
314,JALPAIGURI,109839,ANGRABHASA-I
314,JALPAIGURI,109840,ANGRABHASA-II
318,MEDINIPUR WEST,110258,ANGUA
320,NADIA,110910,ANISHMALI
306,PURBA BARDHAMAN,108628,ANKHONA
321,PURULIA,111052,ANKROBARAKADAM
313,HOWRAH,109590,ANTILA
312,HOOGHLY,109451,ANTPUR
306,PURBA BARDHAMAN,108581,ANUKHAL
320,NADIA,110900,ANULIA
313,HOWRAH,109554,ANULIA
703,Jhargram,110459,ARA
314,JALPAIGURI,109760,ARABINDA
316,MALDAH,109994,ARAIDANGA
312,HOOGHLY,109346,ARANDI-I
312,HOOGHLY,109347,ARANDI-II
320,NADIA,110911,ARANGHATA
320,NADIA,110924,ARBANDI-I
320,NADIA,110925,ARBANDI-II
305,BANKURA,108382,ARDHAGRAM
317,MEDINIPUR EAST,110172,ARGOAL
318,MEDINIPUR WEST,110413,ARJUNI
317,MEDINIPUR EAST,110012,ARJUNNAGAR
319,MURSHIDABAD,110610,ARJUNPUR
321,PURULIA,111103,ARRAH
305,BANKURA,108313,ARRAH
321,PURULIA,110952,ARSHA
306,PURBA BARDHAMAN,108731,ARUI
312,HOOGHLY,109461,ARUNDA
317,MEDINIPUR EAST,110206,ASHADTALIA
303,24 PARAGANAS NORTH,107799,ASHARU
