location_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,localbody_code,localbody_name,village_code,village_name,village_status,census_2011_code
MED-WB-VIL-000001,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107778,AMDANGA,323032,Amdanga,Inhabitant,323032.0
MED-WB-VIL-000002,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107782,MARICHA,322988,Anakha,Inhabitant,322988.0
MED-WB-VIL-000003,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107778,AMDANGA,323046,Arkhali,Inhabitant,323046.0
MED-WB-VIL-000004,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107779,BERABERIA,323063,Atghara,Inhabitant,323063.0
MED-WB-VIL-000005,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107781,CHANDIGARH,323020,Bahirpur,Inhabitant,323020.0
MED-WB-VIL-000006,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107784,TARABERIA,323042,Baichhigachhi,Inhabitant,323042.0
MED-WB-VIL-000007,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107782,MARICHA,322992,Baikunthapur,Inhabitant,322992.0
MED-WB-VIL-000008,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107784,TARABERIA,323041,Bargachhia,Inhabitant,323041.0
MED-WB-VIL-000009,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107780,BODAI,323053,Belu,Inhabitant,323053.0
MED-WB-VIL-000010,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107779,BERABERIA,323056,Beraberia,Inhabitant,323056.0
MED-WB-VIL-000011,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107782,MARICHA,322986,Bhaluka,Inhabitant,322986.0
MED-WB-VIL-000012,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107779,BERABERIA,323060,Bijoypur,Inhabitant,323060.0
MED-WB-VIL-000013,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107780,BODAI,323044,Bodai,Inhabitant,323044.0
MED-WB-VIL-000014,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107780,BODAI,323055,Chakbelu,Inhabitant,323055.0
MED-WB-VIL-000015,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107781,CHANDIGARH,323015,Chandigor,Inhabitant,323015.0
MED-WB-VIL-000016,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107781,CHANDIGARH,323022,Chankia,Inhabitant,323022.0
MED-WB-VIL-000017,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107779,BERABERIA,323059,Chharuhat,Inhabitant,323059.0
MED-WB-VIL-000018,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107777,ADHATA,322998,Dadpur,Inhabitant,322998.0
MED-WB-VIL-000019,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107780,BODAI,323043,Dangatanga Tangi,Inhabitant,323043.0
MED-WB-VIL-000020,19,WEST BENGAL,303,24 PARAGANAS NORTH,2322,Amdanga,2723,AMDANGA,107781,CHANDIGARH,323013,Dariapur,Inhabitant,323013.0
