district_code,district_name,subdistrict_code,subdistrict_name
664,Alipurduar,2173,Alipurduar - I
664,Alipurduar,2174,Alipurduar - II
303,24 PARAGANAS NORTH,2322,Amdanga
313,HOWRAH,2400,Amta - I
313,HOWRAH,2399,Amta - II
312,HOOGHLY,2340,Arambag
321,PURULIA,2389,Arsha
306,PURBA BARDHAMAN,2277,Ausgram - I
306,PURBA BARDHAMAN,2276,Ausgram - II
314,JALPAIGURI,7118,BANARHAT
303,24 PARAGANAS NORTH,2328,Baduria
303,24 PARAGANAS NORTH,2316,Bagda
321,PURULIA,2392,Bagmundi
313,HOWRAH,2408,Bagnan - I
313,HOWRAH,2409,Bagnan - II
312,HOOGHLY,2345,Balagarh
321,PURULIA,2393,Balarampur
313,HOWRAH,2403,Bally Jagachha
310,DINAJPUR DAKSHIN,2204,Balurghat
316,MALDAH,2215,Bamangola
305,BANKURA,2361,Bankura - I
305,BANKURA,2362,Bankura - II
310,DINAJPUR DAKSHIN,2206,Bansihari
704,PASCHIM BARDHAMAN,2269,Barabani
321,PURULIA,2394,Barabazar
303,24 PARAGANAS NORTH,2325,Barasat - I
303,24 PARAGANAS NORTH,2326,Barasat - II
305,BANKURA,2363,Barjora
303,24 PARAGANAS NORTH,2323,Barrackpur - I
303,24 PARAGANAS NORTH,2324,Barrackpur - II
304,24 PARAGANAS SOUTH,2422,Baruipur
304,24 PARAGANAS SOUTH,2434,Basanti
303,24 PARAGANAS NORTH,2329,Basirhat - I
303,24 PARAGANAS NORTH,2330,Basirhat - II
319,MURSHIDABAD,2244,Beldanga - I
319,MURSHIDABAD,2245,Beldanga - II
319,MURSHIDABAD,2241,Berhampore
319,MURSHIDABAD,2231,Bhagawangola - I
319,MURSHIDABAD,2232,Bhagawangola - II
317,MEDINIPUR EAST,2480,Bhagawanpur - I
317,MEDINIPUR EAST,2479,Bhagawanpur - II
304,24 PARAGANAS SOUTH,2418,Bhangar - I
304,24 PARAGANAS SOUTH,2419,Bhangar - II
319,MURSHIDABAD,2247,Bharatpur - I
319,MURSHIDABAD,2246,Bharatpur - II
306,PURBA BARDHAMAN,2286,Bhatar
703,Jhargram,2442,Binpur - I
703,Jhargram,2441,Binpur - II
304,24 PARAGANAS SOUTH,2415,Bishnupur - I
304,24 PARAGANAS SOUTH,2416,Bishnupur - II
307,BIRBHUM,2264,Bolpur Sriniketan
303,24 PARAGANAS NORTH,2317,Bongaon
304,24 PARAGANAS SOUTH,2413,Budge Budge - I
304,24 PARAGANAS SOUTH,2414,Budge Budge - II
321,PURULIA,2397,Bundwan
306,PURBA BARDHAMAN,2289,Burdwan - I
306,PURBA BARDHAMAN,2290,Burdwan - II
319,MURSHIDABAD,2248,Burwan
308,COOCHBEHAR,2183,COOCHBEHAR I
304,24 PARAGANAS SOUTH,2420,Canning - I
304,24 PARAGANAS SOUTH,2421,Canning - II
320,NADIA,2314,Chakdah
316,MALDAH,2210,Chanchal - I
316,MALDAH,2211,Chanchal - II
317,MEDINIPUR EAST,2481,Chandipur
312,HOOGHLY,2351,Chanditala - I
312,HOOGHLY,2352,Chanditala - II
318,MEDINIPUR WEST,2446,Chandrakona - I
318,MEDINIPUR WEST,2447,Chandrakona - II
320,NADIA,2305,Chapra
305,BANKURA,2359,Chhatna
312,HOOGHLY,2346,Chinsurah - Magra
311,DINAJPUR UTTAR,2191,Chopra
317,MEDINIPUR EAST,2488,Contai - I
317,MEDINIPUR EAST,2490,Contai - III
308,COOCHBEHAR,2184,Cooch Behar - II
318,MEDINIPUR WEST,2467,Dantan - I
318,MEDINIPUR WEST,2468,Dantan - II
309,DARJEELING,2154,Darjeeling Pulbazar
318,MEDINIPUR WEST,2449,Daspur - I
318,MEDINIPUR WEST,2450,Daspur - II
318,MEDINIPUR WEST,2462,Debra
303,24 PARAGANAS NORTH,2327,Deganga
317,MEDINIPUR EAST,2489,Deshopran
312,HOOGHLY,2343,Dhaniakhali
314,JALPAIGURI,2176,Dhupguri
304,24 PARAGANAS SOUTH,2426,Diamond Harbour - I
304,24 PARAGANAS SOUTH,2427,Diamond Harbour - II
308,COOCHBEHAR,2187,Dinhata - I
308,COOCHBEHAR,2188,Dinhata - II
313,HOWRAH,2402,Domjur
319,MURSHIDABAD,2235,Domkal
307,BIRBHUM,2266,Dubrajpur
317,MEDINIPUR EAST,2491,Egra - I
317,MEDINIPUR EAST,2492,Egra - II
316,MALDAH,2218,English Bazar
664,Alipurduar,2175,Falakata
304,24 PARAGANAS SOUTH,2425,Falta
319,MURSHIDABAD,2223,Farakka
704,PASCHIM BARDHAMAN,2274,Faridpur Durgapur
303,24 PARAGANAS NORTH,2318,Gaighata
306,PURBA BARDHAMAN,2287,Galsi - I
306,PURBA BARDHAMAN,2288,Galsi - II
305,BANKURA,2358,Gangajalghati
310,DINAJPUR DAKSHIN,2201,Gangarampur
318,MEDINIPUR WEST,2444,Garbeta - I
318,MEDINIPUR WEST,2443,Garbeta - II
318,MEDINIPUR WEST,2445,Garbeta - III
316,MALDAH,2214,Gazole
318,MEDINIPUR WEST,2448,Ghatal
311,DINAJPUR UTTAR,2193,Goalpokhar - I
311,DINAJPUR UTTAR,2194,Goalpokhar - II
312,HOOGHLY,2338,Goghat - I
312,HOOGHLY,2339,Goghat - II
703,Jhargram,2457,Gopiballavpur - I
703,Jhargram,2456,Gopiballavpur - II
702,KALIMPONG,2158,Gorubathan
304,24 PARAGANAS SOUTH,2435,Gosaba
316,MALDAH,2216,Habibpur
303,24 PARAGANAS NORTH,2320,Habra - I
303,24 PARAGANAS NORTH,2321,Habra - II
317,MEDINIPUR EAST,2483,Haldia
308,COOCHBEHAR,2179,Haldibari
320,NADIA,2310,Hanskhali
319,MURSHIDABAD,2242,Hariharpara
320,NADIA,2315,Haringhata
312,HOOGHLY,2348,Haripal
310,DINAJPUR DAKSHIN,2207,Harirampur
316,MALDAH,2208,Harischandrapur - I
316,MALDAH,2209,Harischandrapur - II
303,24 PARAGANAS NORTH,2331,Haroa
303,24 PARAGANAS NORTH,2336,Hasnabad
311,DINAJPUR UTTAR,2197,Hemtabad
310,DINAJPUR DAKSHIN,2203,Hilli
303,24 PARAGANAS NORTH,2337,Hingalganj
305,BANKURA,2374,Hirbandh
321,PURULIA,2386,Hura
307,BIRBHUM,2265,Illambazar
305,BANKURA,2360,Indpur
305,BANKURA,2366,Indus
311,DINAJPUR UTTAR,2192,Islampur
311,DINAJPUR UTTAR,2199,Itahar
313,HOWRAH,2401,Jagatballavpur
321,PURULIA,2378,Jaipur
319,MURSHIDABAD,2234,Jalangi
314,JALPAIGURI,2178,Jalpaiguri
306,PURBA BARDHAMAN,2295,Jamalpur
703,Jhargram,2455,Jamboni
704,PASCHIM BARDHAMAN,2270,Jamuria
312,HOOGHLY,2353,Jangipara
304,24 PARAGANAS SOUTH,2431,Jaynagar - I
304,24 PARAGANAS SOUTH,2432,Jaynagar - II
305,BANKURA,2368,Jaypur
321,PURULIA,2390,Jhalda - I
321,PURULIA,2391,Jhalda - II
703,Jhargram,2454,Jhargram
309,DARJEELING,2159,Jorebunglow Sukiapokhri
320,NADIA,6966,KALYANI
314,JALPAIGURI,7119,KRANTI
304,24 PARAGANAS SOUTH,2437,Kakdwip
664,Alipurduar,2171,Kalchini
316,MALDAH,2220,Kaliachak - I
316,MALDAH,2221,Kaliachak - II
316,MALDAH,2222,Kaliachak - III
311,DINAJPUR UTTAR,2198,Kaliaganj
320,NADIA,2303,Kaliganj
702,KALIMPONG,2157,Kalimpong - II
702,KALIMPONG,2156,Kalimpong -I
306,PURBA BARDHAMAN,2293,Kalna - I
306,PURBA BARDHAMAN,2294,Kalna - II
319,MURSHIDABAD,2240,Kandi
704,PASCHIM BARDHAMAN,2275,Kanksa
