facility_service_id,facility_id,service_name,available,capacity_status,last_updated,synthetic_facility_id,data_status
FS001,MED-WB-FAC-000345,General OPD,False,AVAILABLE,2026-08-25 09:00:00,FAC001,SYNTHETIC_DEMO
FS002,MED-WB-FAC-000345,Maternal Care,True,LIMITED,2026-08-25 10:00:00,FAC001,SYNTHETIC_DEMO
FS003,MED-WB-FAC-000345,Emergency,True,FULL,2026-08-25 11:00:00,FAC001,SYNTHETIC_DEMO
FS004,MED-WB-FAC-000345,Basic Diagnostics,True,UNKNOWN,2026-08-25 12:00:00,FAC001,SYNTHETIC_DEMO
FS005,MED-WB-FAC-000345,Specialist Care,True,AVAILABLE,2026-08-25 13:00:00,FAC001,SYNTHETIC_DEMO
FS006,MED-WB-FAC-000349,General OPD,False,LIMITED,2026-08-25 14:00:00,FAC002,SYNTHETIC_DEMO
FS007,MED-WB-FAC-000349,Maternal Care,True,FULL,2026-08-25 15:00:00,FAC002,SYNTHETIC_DEMO
FS008,MED-WB-FAC-000349,Emergency,True,UNKNOWN,2026-08-25 16:00:00,FAC002,SYNTHETIC_DEMO
FS009,MED-WB-FAC-000349,Basic Diagnostics,True,AVAILABLE,2026-08-25 17:00:00,FAC002,SYNTHETIC_DEMO
FS010,MED-WB-FAC-000349,Specialist Care,True,LIMITED,2026-08-25 18:00:00,FAC002,SYNTHETIC_DEMO
FS011,MED-WB-FAC-000003,General OPD,False,FULL,2026-08-25 19:00:00,FAC003,SYNTHETIC_DEMO
FS012,MED-WB-FAC-000003,Maternal Care,True,UNKNOWN,2026-08-25 20:00:00,FAC003,SYNTHETIC_DEMO
FS013,MED-WB-FAC-000003,Emergency,True,AVAILABLE,2026-08-25 21:00:00,FAC003,SYNTHETIC_DEMO
FS014,MED-WB-FAC-000003,Basic Diagnostics,True,LIMITED,2026-08-25 22:00:00,FAC003,SYNTHETIC_DEMO
FS015,MED-WB-FAC-000003,Specialist Care,True,FULL,2026-08-25 23:00:00,FAC003,SYNTHETIC_DEMO
FS016,MED-WB-FAC-000004,General OPD,False,UNKNOWN,2026-08-26 00:00:00,FAC004,SYNTHETIC_DEMO
FS017,MED-WB-FAC-000004,Maternal Care,True,AVAILABLE,2026-08-26 01:00:00,FAC004,SYNTHETIC_DEMO
FS018,MED-WB-FAC-000004,Emergency,True,LIMITED,2026-08-26 02:00:00,FAC004,SYNTHETIC_DEMO
FS019,MED-WB-FAC-000004,Basic Diagnostics,True,FULL,2026-08-26 03:00:00,FAC004,SYNTHETIC_DEMO
FS020,MED-WB-FAC-000004,Specialist Care,True,UNKNOWN,2026-08-26 04:00:00,FAC004,SYNTHETIC_DEMO
FS021,MED-WB-FAC-000006,General OPD,False,AVAILABLE,2026-08-26 05:00:00,FAC005,SYNTHETIC_DEMO
FS022,MED-WB-FAC-000006,Maternal Care,True,LIMITED,2026-08-26 06:00:00,FAC005,SYNTHETIC_DEMO
FS023,MED-WB-FAC-000006,Emergency,True,FULL,2026-08-26 07:00:00,FAC005,SYNTHETIC_DEMO
FS024,MED-WB-FAC-000006,Basic Diagnostics,True,UNKNOWN,2026-08-26 08:00:00,FAC005,SYNTHETIC_DEMO
FS025,MED-WB-FAC-000006,Specialist Care,True,AVAILABLE,2026-08-26 09:00:00,FAC005,SYNTHETIC_DEMO
FS026,MED-WB-FAC-000371,General OPD,False,LIMITED,2026-08-26 10:00:00,FAC006,SYNTHETIC_DEMO
FS027,MED-WB-FAC-000371,Maternal Care,True,FULL,2026-08-26 11:00:00,FAC006,SYNTHETIC_DEMO
FS028,MED-WB-FAC-000371,Emergency,True,UNKNOWN,2026-08-26 12:00:00,FAC006,SYNTHETIC_DEMO
FS029,MED-WB-FAC-000371,Basic Diagnostics,True,AVAILABLE,2026-08-26 13:00:00,FAC006,SYNTHETIC_DEMO
FS030,MED-WB-FAC-000371,Specialist Care,True,LIMITED,2026-08-26 14:00:00,FAC006,SYNTHETIC_DEMO
FS031,MED-WB-FAC-000372,General OPD,False,FULL,2026-08-26 15:00:00,FAC007,SYNTHETIC_DEMO
FS032,MED-WB-FAC-000372,Maternal Care,True,UNKNOWN,2026-08-26 16:00:00,FAC007,SYNTHETIC_DEMO
FS033,MED-WB-FAC-000372,Emergency,True,AVAILABLE,2026-08-26 17:00:00,FAC007,SYNTHETIC_DEMO
FS034,MED-WB-FAC-000372,Basic Diagnostics,True,LIMITED,2026-08-26 18:00:00,FAC007,SYNTHETIC_DEMO
FS035,MED-WB-FAC-000372,Specialist Care,True,FULL,2026-08-26 19:00:00,FAC007,SYNTHETIC_DEMO
FS036,MED-WB-FAC-000373,General OPD,False,UNKNOWN,2026-08-26 20:00:00,FAC008,SYNTHETIC_DEMO
FS037,MED-WB-FAC-000373,Maternal Care,True,AVAILABLE,2026-08-26 21:00:00,FAC008,SYNTHETIC_DEMO
FS038,MED-WB-FAC-000373,Emergency,True,LIMITED,2026-08-26 22:00:00,FAC008,SYNTHETIC_DEMO
FS039,MED-WB-FAC-000373,Basic Diagnostics,True,FULL,2026-08-26 23:00:00,FAC008,SYNTHETIC_DEMO
FS040,MED-WB-FAC-000373,Specialist Care,True,UNKNOWN,2026-08-27 00:00:00,FAC008,SYNTHETIC_DEMO
FS041,MED-WB-FAC-000375,General OPD,False,AVAILABLE,2026-08-27 01:00:00,FAC009,SYNTHETIC_DEMO
FS042,MED-WB-FAC-000375,Maternal Care,True,LIMITED,2026-08-27 02:00:00,FAC009,SYNTHETIC_DEMO
FS043,MED-WB-FAC-000375,Emergency,True,FULL,2026-08-27 03:00:00,FAC009,SYNTHETIC_DEMO
FS044,MED-WB-FAC-000375,Basic Diagnostics,True,UNKNOWN,2026-08-27 04:00:00,FAC009,SYNTHETIC_DEMO
FS045,MED-WB-FAC-000375,Specialist Care,True,AVAILABLE,2026-08-27 05:00:00,FAC009,SYNTHETIC_DEMO
FS046,MED-WB-FAC-000376,General OPD,False,LIMITED,2026-08-27 06:00:00,FAC010,SYNTHETIC_DEMO
FS047,MED-WB-FAC-000376,Maternal Care,True,FULL,2026-08-27 07:00:00,FAC010,SYNTHETIC_DEMO
FS048,MED-WB-FAC-000376,Emergency,True,UNKNOWN,2026-08-27 08:00:00,FAC010,SYNTHETIC_DEMO
FS049,MED-WB-FAC-000376,Basic Diagnostics,True,AVAILABLE,2026-08-27 09:00:00,FAC010,SYNTHETIC_DEMO
FS050,MED-WB-FAC-000376,Specialist Care,True,LIMITED,2026-08-27 10:00:00,FAC010,SYNTHETIC_DEMO
